mechanics,vectors,algebra,analysis,statistics
77.0,82.0,67.0,67.0,81.0
63.0,78.0,80.0,70.0,81.0
75.0,73.0,71.0,66.0,81.0
55.0,72.0,63.0,70.0,68.0
63.0,63.0,65.0,70.0,63.0
53.0,61.0,72.0,64.0,73.0
51.0,67.0,65.0,65.0,68.0
59.0,70.0,68.0,62.0,56.0
62.0,60.0,58.0,62.0,70.0
64.0,72.0,60.0,62.0,45.0
52.0,64.0,60.0,63.0,54.0
55.0,67.0,59.0,62.0,44.0
50.0,50.0,64.0,55.0,63.0
65.0,63.0,58.0,56.0,37.0
31.0,55.0,60.0,57.0,73.0
60.0,64.0,56.0,54.0,40.0
44.0,69.0,53.0,53.0,53.0
42.0,69.0,61.0,55.0,45.0
62.0,46.0,61.0,57.0,45.0
31.0,49.0,62.0,63.0,62.0
44.0,61.0,52.0,62.0,46.0
49.0,41.0,61.0,49.0,64.0
12.0,58.0,61.0,63.0,67.0
49.0,53.0,49.0,62.0,47.0
54.0,49.0,56.0,47.0,53.0
54.0,53.0,46.0,59.0,44.0
44.0,56.0,55.0,61.0,36.0
18.0,44.0,50.0,57.0,81.0
46.0,52.0,65.0,50.0,35.0
32.0,45.0,49.0,57.0,64.0
30.0,69.0,50.0,52.0,45.0
46.0,49.0,53.0,59.0,37.0
40.0,27.0,54.0,61.0,61.0
31.0,42.0,48.0,54.0,68.0
36.0,59.0,51.0,45.0,51.0
56.0,40.0,56.0,54.0,35.0
46.0,56.0,57.0,49.0,32.0
45.0,42.0,55.0,56.0,40.0
42.0,60.0,54.0,49.0,33.0
40.0,63.0,53.0,54.0,25.0
23.0,55.0,59.0,53.0,44.0
48.0,48.0,49.0,51.0,37.0
41.0,63.0,49.0,46.0,34.0
46.0,52.0,53.0,41.0,40.0
46.0,61.0,46.0,38.0,41.0
40.0,57.0,51.0,52.0,31.0
49.0,49.0,45.0,48.0,39.0
22.0,58.0,53.0,56.0,41.0
35.0,60.0,47.0,54.0,33.0
48.0,56.0,49.0,42.0,32.0
31.0,57.0,50.0,54.0,34.0
17.0,53.0,57.0,43.0,51.0
49.0,57.0,47.0,39.0,26.0
59.0,50.0,47.0,15.0,46.0
37.0,56.0,49.0,28.0,45.0
40.0,43.0,48.0,21.0,61.0
35.0,35.0,41.0,51.0,50.0
38.0,44.0,54.0,47.0,24.0
43.0,43.0,38.0,34.0,49.0
39.0,46.0,46.0,32.0,43.0
62.0,44.0,36.0,22.0,42.0
48.0,38.0,41.0,44.0,33.0
34.0,42.0,50.0,47.0,29.0
18.0,51.0,40.0,56.0,30.0
35.0,36.0,46.0,48.0,29.0
59.0,53.0,37.0,22.0,19.0
41.0,41.0,43.0,30.0,33.0
31.0,52.0,37.0,27.0,40.0
17.0,51.0,52.0,35.0,31.0
34.0,30.0,50.0,47.0,36.0
46.0,40.0,47.0,29.0,17.0
10.0,46.0,36.0,47.0,39.0
46.0,37.0,45.0,15.0,30.0
30.0,34.0,43.0,46.0,18.0
13.0,51.0,50.0,25.0,31.0
49.0,50.0,38.0,23.0,9.0
18.0,32.0,31.0,45.0,40.0
8.0,42.0,48.0,26.0,40.0
23.0,38.0,36.0,48.0,15.0
30.0,24.0,43.0,33.0,25.0
3.0,9.0,51.0,47.0,40.0
7.0,51.0,43.0,17.0,22.0
15.0,40.0,43.0,23.0,18.0
15.0,38.0,39.0,28.0,17.0
5.0,30.0,44.0,36.0,18.0
12.0,30.0,32.0,35.0,21.0
5.0,26.0,15.0,20.0,20.0
0.0,40.0,21.0,9.0,14.0
